# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:00:26
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-357.15220853	-0.07132538
-357.11887519	-0.07710924
-357.08554185	-0.08245774
-357.05220852	-0.08357927
-357.01887518	-0.08064450
-356.98554184	-0.07014222
-356.95220850	-0.05665633
-356.91887516	-0.03906808
-356.88554182	-0.01921117
-356.85220848	0.00338066
-356.81887515	0.02785842
-356.78554181	0.05127999
-356.75220847	0.07133065
-356.71887513	0.08666382
-356.68554179	0.09887938
-356.65220845	0.10703940
-356.61887511	0.10605094
-356.58554178	0.09991067
-356.55220844	0.08770912
-356.51887510	0.07006346
-356.48554176	0.04829377
-356.45220842	0.02487328
-356.41887508	0.00137295
-356.38554174	-0.02260031
-356.35220841	-0.04145391
-356.31887507	-0.05566449
-356.28554173	-0.06502865
-356.25220839	-0.06657388
-356.21887505	-0.06438575
-356.18554171	-0.05750873
-356.15220837	-0.04628196
-356.11887504	-0.03185122
-356.08554170	-0.01707657
-356.05220836	-0.00338148
-356.01887502	0.00882349
-355.98554168	0.01581326
-355.95220834	0.02069913
-355.91887500	0.02118688
-355.88554167	0.01877417
-355.85220833	0.01188808
-355.81887499	0.00297035
-355.78554165	-0.00546700
-355.75220831	-0.01632749
-355.71887497	-0.02722427
-355.68554163	-0.03706511
-355.65220829	-0.04508538
-355.61887496	-0.05090294
-355.58554162	-0.05774845
-355.55220828	-0.06046490
-355.51887494	-0.06358924
-355.48554160	-0.06497912
-355.45220826	-0.06318413
-355.41887492	-0.06072410
-355.38554159	-0.05608308
-355.35220825	-0.05082018
-355.31887491	-0.04543235
-355.28554157	-0.03846048
-355.25220823	-0.03086293
-355.21887489	-0.02813993
-355.18554155	-0.02071396
-355.15220822	-0.01572146
-355.11887488	-0.01119686
-355.08554154	-0.00613612
-355.05220820	0.00016824
-355.01887486	0.00478173
-354.98554152	0.00954188
-354.95220818	0.01618514
-354.91887485	0.02199287
-354.88554151	0.02785230
-354.85220817	0.03197414
-354.81887483	0.03336844
-354.78554149	0.03332749
-354.75220815	0.03117260
-354.71887481	0.02786095
-354.68554148	0.02275216
-354.65220814	0.01697648
-354.61887480	0.01079771
-354.58554146	0.00373722
-354.55220812	-0.00161566
-354.51887478	-0.00962565
-354.48554144	-0.01724072
-354.45220811	-0.02402088
-354.41887477	-0.03260245
-354.38554143	-0.03965793
-354.35220809	-0.04561342
-354.31887475	-0.05283423
-354.28554141	-0.05698530
-354.25220807	-0.05972268
-354.21887474	-0.06253633
-354.18554140	-0.06414138
-354.15220806	-0.06274302
-354.11887472	-0.06087042
-354.08554138	-0.05674806
-354.05220804	-0.05144448
-354.01887470	-0.04549346
-353.98554136	-0.03822516
-353.95220803	-0.03078069
-353.91887469	-0.02158915
-353.88554135	-0.01280272
-353.85220801	-0.00795135
-353.81887467	-0.00288768
-353.78554133	0.00273861
-353.75220799	0.00426603
-353.71887466	0.00352257
-353.68554132	0.00213790
-353.65220798	-0.00013575
-353.61887464	-0.00576415
-353.58554130	-0.00833123
-353.55220796	-0.01228201
-353.51887462	-0.01496820
-353.48554129	-0.01714287
-353.45220795	-0.01703597
-353.41887461	-0.01499743
-353.38554127	-0.01304301
-353.35220793	-0.00863074
-353.31887459	-0.00359923
-353.28554125	0.00025815
-353.25220792	0.00645094
-353.21887458	0.01218154
-353.18554124	0.01871932
-353.15220790	0.02493985
-353.11887456	0.02977649
-353.08554122	0.03482377
-353.05220788	0.03748167
-353.01887455	0.04004421
-352.98554121	0.03787773
-352.95220787	0.03554943
-352.91887453	0.03147123
-352.88554119	0.02578962
-352.85220785	0.01868596
-352.81887451	0.01234707
-352.78554118	0.00433704
-352.75220784	-0.00194819
